7.7115 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

17.6006 	EXP 	face: image = 'ai_images/p1.png'
17.6006 	EXP 	face: autoDraw = True
17.6332 	DATA 	Mouse: wheel shift=(0,0), pos=(638,363)
17.6492 	DATA 	Mouse: wheel shift=(0,0), pos=(638,363)
18.0816 	EXP 	New trial (rep=0, index=9): {'images': 'real_images/p6.png'}
18.0819 	WARNING 	Requested image 'real_images/p6.png' not found but similar filename 'real_images/p6.jpg' exists. This will be used instead but changing the filename is advised.
18.0982 	EXP 	face: autoDraw = False
18.0982 	EXP 	face: image = 'real_images/p6.png'
18.0982 	EXP 	face: autoDraw = True
18.5833 	EXP 	New trial (rep=0, index=10): {'images': 'real_images/p1.png'}
18.5837 	WARNING 	Requested image 'real_images/p1.png' not found but similar filename 'real_images/p1.jpg' exists. This will be used instead but changing the filename is advised.
18.6028 	EXP 	face: autoDraw = False
18.6028 	EXP 	face: image = 'real_images/p1.png'
18.6028 	EXP 	face: autoDraw = True
19.0766 	EXP 	New trial (rep=0, index=11): {'images': 'real_images/p2.png'}
19.0769 	WARNING 	Requested image 'real_images/p2.png' not found but similar filename 'real_images/p2.jpg' exists. This will be used instead but changing the filename is advised.
19.0964 	EXP 	face: autoDraw = False
19.0964 	EXP 	face: image = 'real_images/p2.png'
19.0964 	EXP 	face: autoDraw = True
19.3673 	DATA 	Mouse: wheel shift=(0,0), pos=(638,363)
19.4009 	DATA 	Mouse: wheel shift=(0,0), pos=(638,363)
19.5839 	EXP 	New trial (rep=1, index=0): {'images': 'ai_images/p3.png'}
19.5842 	WARNING 	Requested image 'ai_images/p3.png' not found but similar filename 'ai_images/p3.jpg' exists. This will be used instead but changing the filename is advised.
19.6016 	EXP 	face: autoDraw = False
19.6016 	EXP 	face: image = 'ai_images/p3.png'
19.6016 	EXP 	face: autoDraw = True
20.0334 	DATA 	Mouse: wheel shift=(0,0), pos=(638,363)
20.0336 	DATA 	Mouse: wheel shift=(0,0), pos=(638,363)
20.0831 	EXP 	New trial (rep=1, index=1): {'images': 'real_images/p1.png'}
20.0833 	WARNING 	Requested image 'real_images/p1.png' not found but similar filename 'real_images/p1.jpg' exists. This will be used instead but changing the filename is advised.
20.0995 	EXP 	face: autoDraw = False
20.0995 	EXP 	face: image = 'real_images/p1.png'
20.0995 	EXP 	face: autoDraw = True
20.5823 	EXP 	New trial (rep=1, index=2): {'images': 'ai_images/p5.png'}
20.5825 	WARNING 	Requested image 'ai_images/p5.png' not found but similar filename 'ai_images/p5.jpg' exists. This will be used instead but changing the filename is advised.
20.5978 	EXP 	face: autoDraw = False
20.5978 	EXP 	face: image = 'ai_images/p5.png'
20.5978 	EXP 	face: autoDraw = True
21.0832 	EXP 	New trial (rep=1, index=3): {'images': 'ai_images/p4.png'}
21.0835 	WARNING 	Requested image 'ai_images/p4.png' not found but similar filename 'ai_images/p4.jpg' exists. This will be used instead but changing the filename is advised.
21.1019 	EXP 	face: autoDraw = False
21.1019 	EXP 	face: image = 'ai_images/p4.png'
21.1019 	EXP 	face: autoDraw = True
21.5831 	EXP 	New trial (rep=1, index=4): {'images': 'ai_images/p6.png'}
21.5833 	WARNING 	Requested image 'ai_images/p6.png' not found but similar filename 'ai_images/p6.jpg' exists. This will be used instead but changing the filename is advised.
21.5986 	EXP 	face: autoDraw = False
21.5986 	EXP 	face: image = 'ai_images/p6.png'
21.5986 	EXP 	face: autoDraw = True
22.0838 	EXP 	New trial (rep=1, index=5): {'images': 'ai_images/p1.png'}
22.0842 	WARNING 	Requested image 'ai_images/p1.png' not found but similar filename 'ai_images/p1.jpg' exists. This will be used instead but changing the filename is advised.
22.1005 	EXP 	face: autoDraw = False
22.1005 	EXP 	face: image = 'ai_images/p1.png'
22.1005 	EXP 	face: autoDraw = True
22.5831 	EXP 	New trial (rep=1, index=6): {'images': 'real_images/p2.png'}
22.5834 	WARNING 	Requested image 'real_images/p2.png' not found but similar filename 'real_images/p2.jpg' exists. This will be used instead but changing the filename is advised.
22.6005 	EXP 	face: autoDraw = False
22.6005 	EXP 	face: image = 'real_images/p2.png'
22.6005 	EXP 	face: autoDraw = True
23.0828 	EXP 	New trial (rep=1, index=7): {'images': 'real_images/p3.png'}
