images,presentation.thisRepN,presentation.thisTrialN,presentation.thisN,presentation.thisIndex,Welcome_Message.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,face.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,10.943557874998078,2.662499900907278e-05,[-0.09111111111111111],[-0.12444444444444444],[1],[0],[0],[2.6625975829956587],,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p5.png,0,0,0,10,,,,,,,,,13.612893583980622,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p4.png,0,1,1,3,,,,,,,,,14.09620504200575,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p3.png,0,2,2,8,,,,,,,,,14.60551370898611,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p3.png,0,3,3,2,,,,,,,,,15.102312458999222,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p6.png,0,4,4,5,,,,,,,,,15.598406499979319,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p5.png,0,5,5,4,,,,,,,,,16.100088084000163,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p4.png,0,6,6,9,,,,,,,,,16.599473084002966,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p2.png,0,7,7,1,,,,,,,,,17.094828917004634,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p1.png,0,8,8,0,,,,,,,,,17.600583166989964,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p6.png,0,9,9,11,,,,,,,,,18.098168791999342,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p1.png,0,10,10,6,,,,,,,,,18.602813083998626,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p2.png,0,11,11,7,,,,,,,,,19.096382666990394,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p3.png,1,0,12,2,,,,,,,,,19.60163150000153,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p1.png,1,1,13,6,,,,,,,,,20.099469416978536,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p5.png,1,2,14,4,,,,,,,,,20.59779983398039,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p4.png,1,3,15,3,,,,,,,,,21.101894749997882,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p6.png,1,4,16,5,,,,,,,,,21.598644874989986,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p1.png,1,5,17,0,,,,,,,,,22.10049387498293,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p2.png,1,6,18,7,,,,,,,,,22.60052383400034,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p3.png,1,7,19,8,,,,,,,,,23.099795124988304,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p4.png,1,8,20,9,,,,,,,,,23.601051083998755,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p6.png,1,9,21,11,,,,,,,,,24.09935241698986,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
real_images/p5.png,1,10,22,10,,,,,,,,,24.599409333983203,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
ai_images/p2.png,1,11,23,1,,,,,,,,,25.09949870899436,586829,001,2023-11-29_22h15.18.273,stimulus_presentation,2023.1.2,59.78398551548137,
